number,tweets,positive  match,negative  match,score,polarity
1,This  is  such  a  shame  My  son  and  I  are  reading  A  History  of  Canada  in  10  Maps  and,,shame,-1,negative
2,Canada  What  part  I  Dunno  just  Canada,,,0,neutral
3,It  was  10  in  Ontario  also  Canada  Why  do  people  NEED  to  be  contrarian  You  know  full  well  what  this  man  intended  to  say  There  is  no  bear  outside  YOUR  window  so  this  statement  must  not  be  true,well,,1,positive
4,as  some  of  you  know  I  have  a  good  e-friend  from  Canada  and  when  he  talks  to  me  about  their  politics  it  really  makes  me  wish  we  had  a  strongly  supported  third  party,good|supported,,2,positive
5,14  New  Coronavirus  Cases  In  Canada  Including  Community  Spread,,,0,neutral
6,I  m  voting  for  for  Presented  by,,,0,neutral
7,Teens  who  engage  in  sexting  get  charged  Yet  an  auxiliary  member  of  got  a  free  pass  for  promoting  the  rap,free,,1,positive
8,We  re  thrilled  to  have  support  once  again  this  year  for  the  Spirit  of  the  Capital  Just  a  re,thrilled|support,,2,positive
9,I  often  think  about  PM  Justin  Trudeau  and  how  he  came  a  long  at  the  right  time  How  fortunate  we  are  His  patience  voice,right|fortunate|patience,,3,positive
10,A  class  action  lawsuit  would  be  sweet,sweet,,1,positive
11,lippie  is  NOW  Available  WORLDWIDE  in  stores  Philippines  UAE  Saudi  Arabia  Kuwai,available,,1,positive
12,BC  should  be  funding  MySafe  -  pilot  study  to  evaluate  life  saving  role  Where  is  the  leadership  in  BC  Absent,,,0,neutral
13,As  Coachella  and  Hatsune  Miku  s  appearance  at  the  festival  has  been  postponed  the  MIKU  EXPO  2020  USA  amp  Canada  tour  dates,,,0,neutral
14,Air  Canada  is  suspending  all  flights  between  Canada  and  Italy  as  of  tomorrow  They  say  the  last  flight  departing  for  R,,,0,neutral
15,Canadians  prepare  for  longer  waits  for  healthcare  while  free  access  is  guaranteed  for  new  immigrants  to  Canada  who  have,free,,1,positive
16,A  big  worry  about  Canada  in  the  midst  of  the  Coronavirus  crisis  is  our  hospital  capacity  Canada  scores  almost  at  the  bottom,,worry|crisis,-2,negative
17,That  and  Papi  Castro,,,0,neutral
18,Dr  Bonnie  Henry  delivers  B  C  COVID-19  update  CBC  News,,,0,neutral
19,You  re  putting  out  travel  advisories  for  us  but  you  re  still  allowing  thousands  of  Chinese  Italian  and  Iranian  citizens  to,,,0,neutral
20,The  Nigerian  embassy  in  Ottawa  capital  of  Canada  could  not  process  passport  renewal  because  the  machine  has  spoilt  and  t,,,0,neutral
21,lippie  is  NOW  Available  WORLDWIDE  in  stores  Philippines  UAE  Saudi  Arabia  Kuwai,available,,1,positive
22,2nd-degree  murder  charge  laid  in  North  Battleford  homicide,,murder,-1,negative
23,WOW  Full  Supermoon  seen  Monday  night  from  Manitoba  Canada  Photo  courtesy  of,wow,,1,positive
24,US  F-22  stealth  jets  and  Canadian  CF-18  fighters  intercepted  two  Russian  reconnaissance  aircraft  while  they  were  flying  off  the  Al,,,0,neutral
25,We  have  asked  for  the  Coronavirus  plans  of  the  Correctional  Service  of  Canada  to  protect  prisoners  Another  reason  for,protect,,1,positive
26,As  Coachella  and  Hatsune  Miku  s  appearance  at  the  festival  has  been  postponed  the  MIKU  EXPO  2020  USA  amp  Canada  tour  dates,,,0,neutral
27,Will  Joe  Biden  s  political  record  come  back  to  haunt  him  Deja  vu  Hillary  versus  Trump,trump,haunt,0,neutral
28,As  the  coronavirus  spreads  I  m  glad  we  have  universal  health  care  in  Canada,glad,,1,positive
29,As  countries  around  the  world  enforce  quarantines  and  restrict  travel  pressure  is  mounting  on  Canada  to  take  similar  measure,,restrict,-1,negative
30,This  is  sooooo  cool  I  finally  saw  my  girl  poster  in  Toronto  Minari  is  so  pretty  OMG  Wish  I  can  see  Twice  more  and  mor,cool|pretty,,2,positive
31,Canada  We  are  announcing  7  new  cases  of  COVID-19  for  a  total  of  39  cases  in  British  Columbia,,,0,neutral
32,The  risk  of  disease  remains  low  in  Canada  even  if  cases  have  been  reported  here  Measures  are  in  p,,risk,-1,negative
33,Social  assistance  increases  don  t  go  far  enough  say  advocates  for  poor,enough|advocates,poor,1,positive
